match_id,league_name,match_time,home_team,away_team,final_score,bookmaker,init_win,init_draw,init_lose,final_win,final_draw,final_lose
1914090,西班牙甲组联赛,2021-04-26T00:30:00,塞维利亚,格拉纳达,2月1日,William Hill,1.5,4.33,7,1.44,4.4,7.5
1914146,西班牙甲组联赛,2021-05-17T00:30:00,皇家社会,巴拉多利德,4月1日,Bet 365,1.67,3.4,6,1.44,4.2,8
1914146,西班牙甲组联赛,2021-05-17T00:30:00,皇家社会,巴拉多利德,4月1日,Easybets,1.73,3.9,4.9,1.47,4.5,7.4
1914146,西班牙甲组联赛,2021-05-17T00:30:00,皇家社会,巴拉多利德,4月1日,Lottery Official,1.49,3.58,5.05,1.38,3.9,6
1914146,西班牙甲组联赛,2021-05-17T00:30:00,皇家社会,巴拉多利德,4月1日,Macauslot,1.63,3.63,4.6,1.4,4.1,6.8
1914146,西班牙甲组联赛,2021-05-17T00:30:00,皇家社会,巴拉多利德,4月1日,William Hill,1.67,3.6,5.8,1.44,4.33,7.5
1915340,意大利甲组联赛,2020-11-22T19:30:00,佛罗伦萨,贝内文托,0-1,Bet 365,1.57,4.33,5,1.45,4.75,6.5
1915340,意大利甲组联赛,2020-11-22T19:30:00,佛罗伦萨,贝内文托,0-1,Easybets,1.57,4.6,5.3,1.48,4.9,6.2
1915340,意大利甲组联赛,2020-11-22T19:30:00,佛罗伦萨,贝内文托,0-1,Lottery Official,1.44,4.15,4.9,1.33,4.55,5.95
1915340,意大利甲组联赛,2020-11-22T19:30:00,佛罗伦萨,贝内文托,0-1,Macauslot,1.48,4.35,4.9,1.38,4.6,6
1915340,意大利甲组联赛,2020-11-22T19:30:00,佛罗伦萨,贝内文托,0-1,William Hill,1.62,4.2,5,1.44,4.4,7
1915361,意大利甲组联赛,2020-12-06T03:45:00,国际米兰,博洛尼亚,3月1日,Bet 365,1.4,5,7,1.44,4.75,6.5
1915361,意大利甲组联赛,2020-12-06T03:45:00,国际米兰,博洛尼亚,3月1日,Lottery Official,1.37,4.5,5.35,1.35,4.6,5.55
1915361,意大利甲组联赛,2020-12-06T03:45:00,国际米兰,博洛尼亚,3月1日,Macauslot,1.43,4.7,5.05,1.43,4.7,5.05
1915361,意大利甲组联赛,2020-12-06T03:45:00,国际米兰,博洛尼亚,3月1日,William Hill,1.4,4.8,7,1.44,4.6,6.5
1915415,意大利甲组联赛,2021-01-04T03:45:00,尤文图斯,乌迪内斯,4月1日,Bet 365,1.4,4.75,7.5,1.44,4.5,7
1915415,意大利甲组联赛,2021-01-04T03:45:00,尤文图斯,乌迪内斯,4月1日,Easybets,1.43,4.7,7.6,1.52,4.4,6.5
1915415,意大利甲组联赛,2021-01-04T03:45:00,尤文图斯,乌迪内斯,4月1日,Lottery Official,1.28,4.5,7.35,1.36,4.1,6.25
1915415,意大利甲组联赛,2021-01-04T03:45:00,尤文图斯,乌迪内斯,4月1日,Macauslot,1.35,4.35,7.1,1.4,4.35,6
1915415,意大利甲组联赛,2021-01-04T03:45:00,尤文图斯,乌迪内斯,4月1日,William Hill,1.3,4.75,12,1.44,4.2,8
1915449,意大利甲组联赛,2021-01-23T22:00:00,罗马,斯佩齐亚,4月3日,Bet 365,1.29,5.5,9,1.44,4.75,6.5
1915449,意大利甲组联赛,2021-01-23T22:00:00,罗马,斯佩齐亚,4月3日,Easybets,1.37,5.2,8.3,1.46,4.9,6.6
1915449,意大利甲组联赛,2021-01-23T22:00:00,罗马,斯佩齐亚,4月3日,Lottery Official,1.29,4.75,6.5,1.33,4.6,5.9
1915449,意大利甲组联赛,2021-01-23T22:00:00,罗马,斯佩齐亚,4月3日,Macauslot,1.28,4.9,7.8,1.32,4.9,6.6
1915449,意大利甲组联赛,2021-01-23T22:00:00,罗马,斯佩齐亚,4月3日,William Hill,1.3,5,10,1.44,4.6,6.5
1915469,意大利甲组联赛,2021-02-06T22:00:00,亚特兰大,都灵,3月3日,Bet 365,1.4,4.5,7.5,1.44,4.75,6.5
1915469,意大利甲组联赛,2021-02-06T22:00:00,亚特兰大,都灵,3月3日,Easybets,1.32,5.2,7.6,1.48,4.6,6.9
1915469,意大利甲组联赛,2021-02-06T22:00:00,亚特兰大,都灵,3月3日,Lottery Official,1.29,4.7,6.6,1.32,4.5,6.25
1915469,意大利甲组联赛,2021-02-06T22:00:00,亚特兰大,都灵,3月3日,Macauslot,1.33,4.9,6.5,1.38,4.5,6.15
1915469,意大利甲组联赛,2021-02-06T22:00:00,亚特兰大,都灵,3月3日,William Hill,1.36,4.75,8.5,1.44,4.5,7
1915549,意大利甲组联赛,2021-04-03T21:00:00,亚特兰大,乌迪内斯,3月2日,Bet 365,1.44,4.5,7.5,1.4,4.5,7.5
1915549,意大利甲组联赛,2021-04-03T21:00:00,亚特兰大,乌迪内斯,3月2日,Easybets,1.46,4.4,7.3,1.46,4.7,7.1
1915549,意大利甲组联赛,2021-04-03T21:00:00,亚特兰大,乌迪内斯,3月2日,Macauslot,1.38,4.2,6.9,1.38,4.2,6.9
1915549,意大利甲组联赛,2021-04-03T21:00:00,亚特兰大,乌迪内斯,3月2日,William Hill,1.44,4.33,7.5,1.44,4.33,8
1915554,意大利甲组联赛,2021-04-03T21:00:00,拉齐奥,斯佩齐亚,2月1日,Bet 365,1.36,4.75,7.5,1.5,4.33,6.5
1915554,意大利甲组联赛,2021-04-03T21:00:00,拉齐奥,斯佩齐亚,2月1日,Easybets,1.37,5.2,7.6,1.52,4.6,6
1915554,意大利甲组联赛,2021-04-03T21:00:00,拉齐奥,斯佩齐亚,2月1日,Macauslot,1.31,4.95,7.2,1.4,4.6,5.8
1915554,意大利甲组联赛,2021-04-03T21:00:00,拉齐奥,斯佩齐亚,2月1日,William Hill,1.4,4.5,8,1.44,4.33,7.5
1915612,意大利甲组联赛,2021-05-08T23:59:00,国际米兰,桑普多利亚,5月1日,Bet 365,1.33,5,9,1.45,4.75,6.5
1915612,意大利甲组联赛,2021-05-08T23:59:00,国际米兰,桑普多利亚,5月1日,Easybets,1.39,5,8,1.48,4.7,6.7
1915612,意大利甲组联赛,2021-05-08T23:59:00,国际米兰,桑普多利亚,5月1日,Macauslot,1.31,4.9,7.1,1.38,4.5,6.3
1915612,意大利甲组联赛,2021-05-08T23:59:00,国际米兰,桑普多利亚,5月1日,William Hill,1.3,5.5,9.5,1.44,4.6,7
1915642,意大利甲组联赛,2021-05-23T21:00:00,国际米兰,乌迪内斯,5月1日,Bet 365,1.44,4.75,6,1.45,4.75,6.5
1915642,意大利甲组联赛,2021-05-23T21:00:00,国际米兰,乌迪内斯,5月1日,Easybets,1.38,5.4,7.4,1.49,4.8,6.1
1915642,意大利甲组联赛,2021-05-23T21:00:00,国际米兰,乌迪内斯,5月1日,Lottery Official,1.21,5.45,7.75,1.34,4.75,5.5
1915642,意大利甲组联赛,2021-05-23T21:00:00,国际米兰,乌迪内斯,5月1日,Macauslot,1.31,5.1,7,1.34,5.1,6.25
1915642,意大利甲组联赛,2021-05-23T21:00:00,国际米兰,乌迪内斯,5月1日,William Hill,1.5,4.5,5.8,1.44,5,6.5
2027817,英格兰超级联赛,2021-08-29T21:00:00,托特纳姆热刺,沃特福德,1-0,Bet 365,1.44,4.2,7.5,1.4,4.5,8.5
2027817,英格兰超级联赛,2021-08-29T21:00:00,托特纳姆热刺,沃特福德,1-0,Easybets,1.44,4.6,8,1.47,4.5,7.3
2027817,英格兰超级联赛,2021-08-29T21:00:00,托特纳姆热刺,沃特福德,1-0,Lottery Official,1.3,4.2,7.6,1.31,4.2,7.25
2027817,英格兰超级联赛,2021-08-29T21:00:00,托特纳姆热刺,沃特福德,1-0,Macauslot,1.4,3.9,7,1.36,4.2,7.15
2027817,英格兰超级联赛,2021-08-29T21:00:00,托特纳姆热刺,沃特福德,1-0,William Hill,1.44,4.33,8.5,1.44,4.2,8.5
